52 54 150
-7.86207e-05 52 54 151
-9.01411e-05 52 54 152
-0.000107894 52 54 153
-0.000116518 52 54 154
-0.000130022 52 54 155
-0.000134445 52 54 156
-0.00014251 52 54 157
-0.000142865 52 54 158
-0.000146191 52 54 159
-0.00014484 52 54 160
-0.000145795 52 54 161
-0.000146203 52 54 162
-0.000148412 52 54 163
-0.000154704 52 54 164
-0.000161103 52 54 165
-0.000175537 52 54 166
-0.000185897 52 54 167
-0.000206465 52 54 168
-0.000216863 52 54 169
-0.000238135 52 54 170
-0.000242022 52 54 171
-0.000258231 52 54 172
-0.000251875 52 54 173
-0.000261085 52 54 174
-0.000245761 52 54 175
-0.000250278 52 54 176
-0.000230302 52 54 177
-0.000233075 52 54 178
-0.000213034 52 54 179
-0.00021458 52 54 180
-0.000195926 52 54 181
-0.000194019 52 54 182
-0.000176806 52 54 183
-0.000169187 52 54 184
-0.000154622 52 54 185
-0.00014124 52 54 186
-0.00013209 52 54 187
-0.00011468 52 54 188
-0.00011168 52 54 189
-8.89991e-05 52 54 190
-8.59398e-05 52 54 191
-5.26904e-05 52 54 192
-3.91053e-05 52 54 193
7.5618e-06 52 54 194
3.51006e-05 52 54 195
8.41861e-05 52 54 196
0.000115257 52 54 197
0.000147248 52 54 198
0.000169439 52 54 199
0.00017698 52 54 200
0.00019451 52 54 201
0.000191442 52 54 202
0.000215059 52 54 203
0.000214578 52 54 204
0.000237629 52 54 205
0.000235279 52 54 206
0.000239424 52 54 207
0.000230771 52 54 208
0.000212989 52 54 209
0.000206759 52 54 210
0.000183469 52 54 211
0.000187861 52 54 212
0.000174704 52 54 213
0.00018045 52 54 214
0.000173608 52 54 215
0.000156905 52 54 216
0.000143859 52 54 217
0.000107599 52 54 218
0.00010237 52 54 219
8.54161e-05 52 54 220
8.99163e-05 52 54 221
8.74581e-05 52 54 222
6.14424e-05 52 54 223
5.20039e-05 52 54 224
1.39369e-05 52 54 225
1.80034e-05 52 54 226
9.0886e-06 52 54 227
3.51635e-06 52 54 228
5.76367e-06 52 54 229
-2.76104e-05 52 54 230
-2.21677e-05 52 54 231
-4.67633e-05 52 54 232
-4.779e-05 52 54 233
-4.39177e-05 52 54 234
-5.98791e-05 52 54 235
-4.71869e-05 52 54 236
-7.24733e-05 52 54 237
-7.97349e-05 52 54 238
-7.70578e-05 52 54 239
-7.4045e-05 52 54 240
-5.72398e-05 52 54 241
-7.3237e-05 52 54 242
-8.83754e-05 52 54 243
-8.08506e-05 52 54 244
-5.4262e-05 52 54 245
-5.92962e-05 52 54 246
-7.53592e-05 52 54 247
-6.78176e-05 52 54 248
-8.00197e-05 52 54 249
-5.43621e-05 
